Date Time: 14:43:10.584 16/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 0
Integration Time [탎]: 118
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.192566
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
0-1	1510.4235	Strain	-	탎train	7.77E-7				
0-2	1513.6595	Strain	-	탎train	7.77E-7				
0-3	1516.6792	Strain	-	탎train	7.77E-7				
0-4	1519.7850	Strain	-	탎train	7.77E-7				
0-5	1522.7340	Strain	-	탎train	7.77E-7				
0-6	1525.9229	Strain	-	탎train	7.77E-7				
0-7	1529.1588	Strain	-	탎train	7.77E-7				
0-8	1532.0981	Strain	-	탎train	7.77E-7				
0-9	1535.3094	Strain	-	탎train	7.77E-7				
0-10	1538.5337	Strain	-	탎train	7.77E-7				
0-11	1541.4629	Strain	-	탎train	7.77E-7				
0-12	1544.4043	Strain	-	탎train	7.77E-7				
0-13	1547.6082	Strain	-	탎train	7.77E-7				
0-14	1550.7372	Strain	-	탎train	7.77E-7				
0-15	1553.7941	Strain	-	탎train	7.77E-7				
0-16	1556.8947	Strain	-	탎train	7.77E-7				
0-17	1559.9315	Strain	-	탎train	7.77E-7				
0-18	1563.2745	Strain	-	탎train	7.77E-7				
0-19	1566.2719	Strain	-	탎train	7.77E-7				
0-20	1569.1669	Strain	-	탎train	7.77E-7				
0-21	1572.6982	Strain	-	탎train	7.77E-7				
0-22	1575.4855	Strain	-	탎train	7.77E-7				
0-23	1578.6241	Strain	-	탎train	7.77E-7				
0-24	1581.6785	Strain	-	탎train	7.77E-7				
0-25	1584.8418	Strain	-	탎train	7.77E-7				
0-26	1588.7605	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	0-1	0-2	0-3	0-4	0-5	0-6	0-7	0-8	0-9	0-10	0-11	0-12	0-13	0-14	0-15	0-16	0-17	0-18	0-19	0-20	0-21	0-22	0-23	0-24	0-25	0-26
2025/10/16	14:43:10	2578	0 0 0 0	-1.5	-8.3	0.6	-0.2	-0.5	-0.9	1.7	-0.1	-3.1	1.8	0.2	-0.5	-4.6	3.8	1.4	-1.2	-2.5	-4.3	33.1	0.2	-17.3	-12.0	-0.2	0.0	-1.3	-5.3
2025/10/16	14:43:10	2579	0 0 0 0	-1.2	-8.2	0.5	0.0	-0.6	-0.9	1.7	-0.2	-3.1	1.8	0.2	-0.4	-4.6	3.7	1.2	-1.4	-2.5	-4.4	33.3	0.2	-17.5	-12.0	-0.2	-0.2	-1.3	-5.3
2025/10/16	14:43:10	2580	0 0 0 0	-1.2	-8.5	0.5	0.0	-0.5	-1.2	1.8	-0.1	-3.2	1.5	0.3	-0.2	-4.8	3.5	1.4	-1.2	-2.5	-4.3	33.0	0.3	-17.5	-12.0	-0.4	-0.2	-1.3	-5.5
2025/10/16	14:43:10	2581	0 0 0 0	-1.5	-8.8	0.2	0.2	-0.8	-1.5	1.7	-0.2	-3.3	1.5	0.2	-0.4	-4.8	3.5	1.4	-1.2	-2.5	-4.4	33.1	0.0	-17.9	-12.0	-0.5	-0.2	-1.2	-5.3
2025/10/16	14:43:11	2582	0 0 0 0	-1.2	-8.7	-0.3	0.2	-0.9	-1.5	1.5	-0.2	-3.5	1.4	0.3	-0.2	-4.9	3.4	1.4	-1.4	-2.5	-4.4	33.0	0.0	-17.8	-11.9	-0.5	-0.2	-1.2	-5.5
2025/10/16	14:43:11	2583	0 0 0 0	-1.5	-9.1	-0.1	0.2	-0.8	-1.5	1.5	-0.1	-3.6	1.2	0.3	-0.2	-4.9	3.2	1.2	-1.4	-2.5	-4.4	33.1	0.2	-17.8	-12.1	-0.5	0.0	-1.1	-5.4
2025/10/16	14:43:11	2584	0 0 0 0	-1.4	-8.8	-0.2	0.2	-0.8	-1.3	1.8	-0.4	-3.8	1.4	0.3	-0.2	-5.1	3.1	1.4	-1.5	-2.5	-4.6	33.0	0.2	-17.9	-12.1	-0.2	-0.2	-1.1	-5.4
2025/10/16	14:43:11	2585	0 0 0 0	-1.2	-9.2	-0.3	0.2	-0.9	-1.5	1.7	-0.2	-3.6	1.2	0.5	-0.4	-4.9	3.1	1.4	-1.5	-2.5	-4.6	33.0	0.0	-18.1	-12.1	-0.2	0.0	-1.0	-5.4
2025/10/16	14:43:11	2586	0 0 0 0	-0.9	-9.1	-0.3	0.3	-0.9	-1.5	1.7	0.0	-3.6	1.2	0.3	-0.2	-5.1	3.1	1.4	-1.5	-2.5	-4.4	33.0	0.2	-18.1	-11.9	-0.2	-0.2	-0.8	-5.4
2025/10/16	14:43:11	2587	0 0 0 0	-0.9	-9.4	-0.5	0.3	-0.6	-1.3	1.8	-0.2	-3.5	0.9	0.3	-0.2	-5.1	3.1	1.4	-1.5	-2.6	-4.4	33.0	0.2	-18.2	-12.0	-0.2	-0.2	-0.9	-5.1
2025/10/16	14:43:11	2588	0 0 0 0	-0.9	-9.4	-0.5	0.3	-0.6	-1.5	1.7	-0.2	-3.5	0.9	0.5	-0.1	-4.9	3.1	1.4	-1.5	-2.5	-4.6	32.8	0.2	-18.3	-12.0	-0.1	0.0	-0.7	-5.3
