Date Time: 15:03:45.542 16/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 8
Integration Time [µs]: 119
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.192566
Comment: 

Index	Wav0	
8-1	1510.4261
8-2	1513.6619
8-3	1516.6829
8-4	1519.7834
8-5	1522.7416
8-6	1525.9331
8-7	1529.1730
8-8	1532.1031
8-9	1535.3229
8-10	1538.5406
8-11	1541.4613
8-12	1544.4070
8-13	1547.6112
8-14	1550.7678
8-15	1553.8059
8-16	1556.9015
8-17	1559.8984
8-18	1563.2610
8-19	1566.2812
8-20	1569.1683
8-21	1572.7283
8-22	1575.4851
8-23	1578.6222
8-24	1581.6810
8-25	1584.8348
8-26	1588.7635

Date	Time	LineNumber	System status	Wav8-1	Wav8-2	Wav8-3	Wav8-4	Wav8-5	Wav8-6	Wav8-7	Wav8-8	Wav8-9	Wav8-10	Wav8-11	Wav8-12	Wav8-13	Wav8-14	Wav8-15	Wav8-16	Wav8-17	Wav8-18	Wav8-19	Wav8-20	Wav8-21	Wav8-22	Wav8-23	Wav8-24	Wav8-25	Wav8-26	Pow8-1	Pow8-2	Pow8-3	Pow8-4	Pow8-5	Pow8-6	Pow8-7	Pow8-8	Pow8-9	Pow8-10	Pow8-11	Pow8-12	Pow8-13	Pow8-14	Pow8-15	Pow8-16	Pow8-17	Pow8-18	Pow8-19	Pow8-20	Pow8-21	Pow8-22	Pow8-23	Pow8-24	Pow8-25	Pow8-26
2025/10/16	15:03:45	918	0 0 0 0	1510.4290	1513.6682	1516.6792	1519.7874	1522.7419	1525.9294	1529.1699	1532.1079	1535.3280	1538.5363	1541.4690	1544.4089	1547.6105	1550.7515	1553.8105	1556.8990	1559.8912	1563.2566	1566.2947	1569.1741	1572.7375	1575.4836	1578.6163	1581.6804	1584.8386	1588.7542	34.1	38.2	40.2	47.0	38.7	57.4	57.3	57.4	64.7	51.3	60.0	66.1	77.0	66.4	67.7	72.9	64.1	59.1	68.0	59.3	62.2	63.3	45.3	44.5	44.7	40.6
2025/10/16	15:03:45	919	0 0 0 0	1510.4290	1513.6683	1516.6791	1519.7870	1522.7421	1525.9296	1529.1700	1532.1079	1535.3278	1538.5361	1541.4689	1544.4089	1547.6105	1550.7513	1553.8105	1556.8993	1559.8916	1563.2566	1566.2948	1569.1742	1572.7377	1575.4835	1578.6165	1581.6804	1584.8386	1588.7542	34.2	38.1	40.1	47.0	38.7	57.3	57.3	57.5	64.7	51.2	60.0	66.1	77.0	66.4	67.7	72.8	64.1	59.1	68.1	59.4	62.2	63.4	45.3	44.5	44.7	40.6
2025/10/16	15:03:45	920	0 0 0 0	1510.4288	1513.6683	1516.6788	1519.7871	1522.7421	1525.9298	1529.1700	1532.1077	1535.3276	1538.5360	1541.4689	1544.4089	1547.6106	1550.7515	1553.8104	1556.8993	1559.8915	1563.2567	1566.2948	1569.1741	1572.7377	1575.4834	1578.6163	1581.6807	1584.8385	1588.7539	34.1	38.1	40.2	47.1	38.7	57.4	57.4	57.5	64.7	51.3	60.0	66.1	77.0	66.4	67.7	72.9	64.1	59.1	68.1	59.3	62.2	63.3	45.2	44.5	44.6	40.5
2025/10/16	15:03:45	921	0 0 0 0	1510.4287	1513.6683	1516.6787	1519.7871	1522.7422	1525.9296	1529.1699	1532.1077	1535.3274	1538.5358	1541.4687	1544.4091	1547.6104	1550.7511	1553.8104	1556.8994	1559.8915	1563.2567	1566.2948	1569.1741	1572.7377	1575.4832	1578.6163	1581.6805	1584.8387	1588.7540	34.1	38.1	40.1	47.1	38.8	57.3	57.4	57.5	64.6	51.2	60.0	66.1	77.1	66.4	67.8	72.9	64.1	59.1	68.0	59.2	62.4	63.4	45.3	44.5	44.7	40.6
2025/10/16	15:03:45	922	0 0 0 0	1510.4290	1513.6685	1516.6786	1519.7874	1522.7426	1525.9294	1529.1699	1532.1077	1535.3274	1538.5359	1541.4687	1544.4089	1547.6105	1550.7512	1553.8105	1556.8994	1559.8914	1563.2570	1566.2948	1569.1740	1572.7377	1575.4830	1578.6165	1581.6805	1584.8387	1588.7543	34.1	38.1	40.2	47.0	38.7	57.3	57.4	57.5	64.6	51.3	60.0	66.1	77.0	66.4	67.6	72.9	64.1	59.2	68.0	59.4	62.3	63.3	45.3	44.5	44.8	40.6
2025/10/16	15:03:46	923	0 0 0 0	1510.4291	1513.6685	1516.6785	1519.7875	1522.7427	1525.9293	1529.1699	1532.1075	1535.3273	1538.5358	1541.4687	1544.4092	1547.6104	1550.7512	1553.8104	1556.8995	1559.8914	1563.2568	1566.2949	1569.1742	1572.7378	1575.4832	1578.6163	1581.6805	1584.8387	1588.7542	34.1	38.2	40.2	47.1	38.8	57.4	57.4	57.5	64.5	51.3	60.0	66.1	77.0	66.5	67.7	72.8	64.1	59.2	68.0	59.2	62.3	63.4	45.3	44.6	44.8	40.6
2025/10/16	15:03:46	924	0 0 0 0	1510.4291	1513.6685	1516.6781	1519.7875	1522.7424	1525.9292	1529.1700	1532.1075	1535.3271	1538.5356	1541.4687	1544.4092	1547.6104	1550.7511	1553.8105	1556.8999	1559.8911	1563.2567	1566.2949	1569.1740	1572.7378	1575.4832	1578.6162	1581.6805	1584.8385	1588.7542	34.2	38.1	40.3	47.2	38.7	57.3	57.5	57.5	64.6	51.3	60.0	66.1	77.0	66.6	67.7	72.8	64.1	59.2	68.0	59.3	62.2	63.4	45.3	44.5	44.8	40.6
2025/10/16	15:03:46	925	0 0 0 0	1510.4291	1513.6686	1516.6780	1519.7875	1522.7424	1525.9290	1529.1700	1532.1075	1535.3269	1538.5356	1541.4689	1544.4093	1547.6105	1550.7511	1553.8107	1556.8999	1559.8909	1563.2567	1566.2948	1569.1742	1572.7377	1575.4832	1578.6163	1581.6805	1584.8386	1588.7543	34.1	38.2	40.2	47.1	38.8	57.3	57.4	57.5	64.5	51.3	59.9	66.1	76.9	66.4	67.7	72.7	64.1	59.1	68.1	59.3	62.2	63.3	45.2	44.5	44.7	40.6
2025/10/16	15:03:46	926	0 0 0 0	1510.4290	1513.6685	1516.6777	1519.7874	1522.7424	1525.9290	1529.1700	1532.1075	1535.3269	1538.5354	1541.4687	1544.4094	1547.6105	1550.7510	1553.8107	1556.9000	1559.8909	1563.2566	1566.2949	1569.1741	1572.7377	1575.4830	1578.6162	1581.6807	1584.8387	1588.7542	34.1	38.2	40.2	47.1	38.8	57.3	57.4	57.6	64.6	51.3	60.0	66.1	77.0	66.5	67.7	72.8	64.2	59.2	68.0	59.2	62.3	63.3	45.3	44.4	44.8	40.5
2025/10/16	15:03:46	927	0 0 0 0	1510.4290	1513.6687	1516.6780	1519.7875	1522.7423	1525.9291	1529.1699	1532.1075	1535.3268	1538.5353	1541.4687	1544.4095	1547.6104	1550.7510	1553.8105	1556.9001	1559.8911	1563.2567	1566.2949	1569.1741	1572.7377	1575.4832	1578.6162	1581.6804	1584.8387	1588.7544	34.1	38.2	40.3	47.1	38.8	57.3	57.3	57.6	64.6	51.3	60.0	66.2	77.0	66.6	67.7	72.7	64.2	59.2	68.0	59.3	62.3	63.4	45.2	44.5	44.7	40.6
