Date Time: 13:43:11.987 14/09/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 8
Integration Time [µs]: 129
High Sensitivity: FALSE
Sample Speed [Hz]: 50
Data interleave: 1
Noise Threshold: 7.227661
Comment: Water at 100mL increments

Index	Wav0	
8-1	1510.3452
8-2	1513.6951
8-3	1516.5538
8-4	1519.8015
8-5	1522.7593
8-6	1525.8528
8-7	1529.0231
8-8	1532.1917
8-9	1535.2935
8-10	1538.5812
8-11	1541.4745
8-12	1544.4465
8-13	1547.5867
8-14	1550.7219
8-15	1553.7548
8-16	1556.7789
8-17	1559.5591
8-18	1563.2168
8-19	1566.3138
8-20	1569.2654
8-21	1572.6804
8-22	1575.3846
8-23	1578.4993
8-24	1581.6807
8-25	1584.8802
8-26	1588.6422

Date	Time	LineNumber	System status	Wav8-1	Wav8-2	Wav8-3	Wav8-4	Wav8-5	Wav8-6	Wav8-7	Wav8-8	Wav8-9	Wav8-10	Wav8-11	Wav8-12	Wav8-13	Wav8-14	Wav8-15	Wav8-16	Wav8-17	Wav8-18	Wav8-19	Wav8-20	Wav8-21	Wav8-22	Wav8-23	Wav8-24	Wav8-25	Wav8-26	Pow8-1	Pow8-2	Pow8-3	Pow8-4	Pow8-5	Pow8-6	Pow8-7	Pow8-8	Pow8-9	Pow8-10	Pow8-11	Pow8-12	Pow8-13	Pow8-14	Pow8-15	Pow8-16	Pow8-17	Pow8-18	Pow8-19	Pow8-20	Pow8-21	Pow8-22	Pow8-23	Pow8-24	Pow8-25	Pow8-26
2025/09/14	13:43:11	47988	0 0 0 0	1510.3490	1513.6936	1516.5662	1519.8087	1522.7526	1525.8484	1529.0488	1532.1958	1535.2845	1538.5850	1541.4833	1544.4437	1547.5837	1550.7256	1553.7690	1556.7731	1559.5459	1563.2169	1566.3207	1569.2631	1572.6937	1575.3783	1578.5076	1581.6921	1584.8898	1587.9960	37.2	43.7	43.1	46.8	42.0	62.2	61.6	59.6	70.4	56.9	69.2	65.5	83.9	74.5	79.2	78.0	63.2	69.2	70.4	63.8	65.3	64.8	48.6	41.5	44.8	40.5
2025/09/14	13:43:11	47989	0 0 0 0	1510.3490	1513.6935	1516.5659	1519.8086	1522.7529	1525.8484	1529.0487	1532.1959	1535.2845	1538.5851	1541.4835	1544.4437	1547.5837	1550.7257	1553.7688	1556.7732	1559.5458	1563.2168	1566.3208	1569.2631	1572.6937	1575.3783	1578.5077	1581.6921	1584.8896	1587.9960	37.2	43.8	43.1	46.7	42.0	62.2	61.7	59.6	70.4	56.9	69.2	65.6	84.0	74.6	79.3	78.0	63.2	69.1	70.3	63.8	65.3	64.8	48.7	41.5	44.9	40.5
2025/09/14	13:43:12	47990	0 0 0 0	1510.3491	1513.6935	1516.5660	1519.8086	1522.7526	1525.8484	1529.0488	1532.1960	1535.2847	1538.5850	1541.4834	1544.4437	1547.5837	1550.7257	1553.7692	1556.7731	1559.5459	1563.2169	1566.3208	1569.2632	1572.6937	1575.3783	1578.5074	1581.6923	1584.8898	1587.9958	37.2	43.8	43.0	46.8	42.0	62.2	61.7	59.6	70.4	56.9	69.3	65.5	83.9	74.5	79.4	78.0	63.2	69.1	70.4	63.8	65.2	64.9	48.7	41.5	44.9	40.5
2025/09/14	13:43:12	47991	0 0 0 0	1510.3495	1513.6934	1516.5660	1519.8087	1522.7524	1525.8483	1529.0487	1532.1960	1535.2844	1538.5850	1541.4835	1544.4438	1547.5837	1550.7258	1553.7690	1556.7732	1559.5459	1563.2168	1566.3207	1569.2631	1572.6936	1575.3784	1578.5076	1581.6919	1584.8896	1587.9961	37.2	43.8	43.1	46.8	42.0	62.2	61.7	59.6	70.3	56.9	69.2	65.5	83.9	74.7	79.2	78.0	63.1	69.1	70.3	63.8	65.3	64.9	48.7	41.4	44.9	40.5
2025/09/14	13:43:12	47992	0 0 0 0	1510.3494	1513.6934	1516.5663	1519.8086	1522.7527	1525.8485	1529.0488	1532.1960	1535.2845	1538.5850	1541.4835	1544.4437	1547.5839	1550.7256	1553.7690	1556.7732	1559.5459	1563.2170	1566.3208	1569.2633	1572.6936	1575.3784	1578.5076	1581.6920	1584.8896	1587.9962	37.2	43.8	43.0	46.8	42.0	62.1	61.6	59.6	70.4	56.8	69.3	65.5	83.9	74.5	79.3	77.9	63.3	69.2	70.5	63.7	65.2	64.9	48.7	41.4	44.9	40.5
2025/09/14	13:43:12	47993	0 0 0 0	1510.3491	1513.6934	1516.5663	1519.8087	1522.7528	1525.8484	1529.0486	1532.1960	1535.2845	1538.5851	1541.4834	1544.4438	1547.5839	1550.7256	1553.7690	1556.7731	1559.5458	1563.2169	1566.3208	1569.2632	1572.6937	1575.3783	1578.5077	1581.6921	1584.8896	1587.9958	37.2	43.7	43.1	46.8	42.0	62.2	61.6	59.5	70.3	56.9	69.2	65.5	83.9	74.6	79.3	77.9	63.1	69.1	70.4	63.8	65.3	64.9	48.6	41.5	44.9	40.5
2025/09/14	13:43:12	47994	0 0 0 0	1510.3492	1513.6934	1516.5662	1519.8086	1522.7527	1525.8484	1529.0487	1532.1959	1535.2847	1538.5852	1541.4835	1544.4437	1547.5837	1550.7256	1553.7693	1556.7731	1559.5459	1563.2170	1566.3208	1569.2631	1572.6936	1575.3784	1578.5076	1581.6921	1584.8895	1587.9958	37.2	43.8	43.1	46.8	41.9	62.2	61.6	59.6	70.3	56.9	69.3	65.5	84.0	74.6	79.3	77.9	63.2	69.1	70.4	63.8	65.3	64.9	48.7	41.5	44.9	40.5
2025/09/14	13:43:12	47995	0 0 0 0	1510.3492	1513.6937	1516.5662	1519.8088	1522.7527	1525.8484	1529.0488	1532.1959	1535.2849	1538.5851	1541.4835	1544.4438	1547.5837	1550.7256	1553.7692	1556.7732	1559.5459	1563.2169	1566.3209	1569.2631	1572.6935	1575.3784	1578.5078	1581.6925	1584.8895	1587.9958	37.2	43.7	43.1	46.8	42.0	62.1	61.5	59.6	70.4	56.9	69.2	65.5	83.9	74.5	79.3	78.0	63.2	69.1	70.4	63.8	65.3	64.9	48.6	41.5	44.9	40.5
2025/09/14	13:43:12	47996	0 0 0 0	1510.3494	1513.6938	1516.5663	1519.8088	1522.7529	1525.8484	1529.0488	1532.1960	1535.2848	1538.5851	1541.4836	1544.4438	1547.5839	1550.7256	1553.7692	1556.7732	1559.5460	1563.2170	1566.3208	1569.2631	1572.6936	1575.3784	1578.5077	1581.6925	1584.8896	1587.9958	37.3	43.8	43.1	46.8	42.0	62.1	61.7	59.6	70.4	56.9	69.3	65.5	83.9	74.6	79.2	78.0	63.2	69.2	70.3	63.8	65.2	64.9	48.7	41.5	44.9	40.5
2025/09/14	13:43:12	47997	0 0 0 0	1510.3496	1513.6935	1516.5660	1519.8088	1522.7527	1525.8485	1529.0488	1532.1959	1535.2847	1538.5851	1541.4835	1544.4438	1547.5839	1550.7258	1553.7692	1556.7731	1559.5459	1563.2172	1566.3208	1569.2632	1572.6937	1575.3784	1578.5077	1581.6921	1584.8898	1587.9957	37.2	43.8	43.1	46.8	42.0	62.2	61.7	59.6	70.4	56.9	69.2	65.5	83.9	74.6	79.3	78.0	63.2	69.2	70.4	63.8	65.3	65.0	48.7	41.5	44.8	40.5
