Date Time: 12:29:48.709 20/09/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 8
Integration Time [탎]: 201
High Sensitivity: FALSE
Sample Speed [Hz]: 50
Data interleave: 1
Noise Threshold: 8.021649
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
8-1	1510.2717	Strain	-	탎train	7.77E-7				
8-2	1513.2001	Strain	-	탎train	7.77E-7				
8-3	1516.3347	Strain	-	탎train	7.77E-7				
8-4	1519.5065	Strain	-	탎train	7.77E-7				
8-5	1522.5170	Strain	-	탎train	7.77E-7				
8-6	1525.6216	Strain	-	탎train	7.77E-7				
8-7	1528.7924	Strain	-	탎train	7.77E-7				
8-8	1531.9640	Strain	-	탎train	7.77E-7				
8-9	1534.9679	Strain	-	탎train	7.77E-7				
8-10	1538.0656	Strain	-	탎train	7.77E-7				
8-11	1541.1573	Strain	-	탎train	7.77E-7				
8-12	1544.1976	Strain	-	탎train	7.77E-7				
8-13	1547.2576	Strain	-	탎train	7.77E-7				
8-14	1550.6317	Strain	-	탎train	7.77E-7				
8-15	1553.4847	Strain	-	탎train	7.77E-7				
8-16	1556.5425	Strain	-	탎train	7.77E-7				
8-17	1559.7606	Strain	-	탎train	7.77E-7				
8-18	1562.8787	Strain	-	탎train	7.77E-7				
8-19	1566.2847	Strain	-	탎train	7.77E-7				
8-20	1569.4191	Strain	-	탎train	7.77E-7				
8-21	1572.4069	Strain	-	탎train	7.77E-7				
8-22	1576.0526	Strain	-	탎train	7.77E-7				
8-23	1579.1913	Strain	-	탎train	7.77E-7				
8-24	1582.1642	Strain	-	탎train	7.77E-7				
8-25	1585.0455	Strain	-	탎train	7.77E-7				
8-26	1588.1902	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	8-1	8-2	8-3	8-4	8-5	8-6	8-7	8-8	8-9	8-10	8-11	8-12	8-13	8-14	8-15	8-16	8-17	8-18	8-19	8-20	8-21	8-22	8-23	8-24	8-25	8-26
2025/09/20	12:29:48	39850	0 1 0 0	42.2	433.2	156.8	238.4	183.3	186.1	170.3	178.4	260.6	379.8	259.9	184.9	256.7	79.8	186.4	208.9	-69.2	252.8	-2.1	-149.0	219.8	-542.7	-507.8	-417.5	-344.5	419.7
2025/09/20	12:29:48	39851	0 1 0 0	42.0	433.3	156.8	238.4	183.3	186.1	170.3	178.4	260.6	379.8	259.9	184.9	256.7	79.8	186.4	208.9	-69.0	252.7	-1.9	-149.0	219.8	-542.8	-507.8	-417.5	-344.5	419.8
2025/09/20	12:29:48	39852	0 1 0 0	42.2	433.2	156.8	238.4	183.3	186.1	170.4	178.4	260.6	380.0	259.9	184.9	256.7	79.8	186.4	208.9	-69.0	252.8	-1.9	-149.0	219.8	-542.8	-507.7	-417.6	-344.5	419.8
2025/09/20	12:29:48	39853	0 1 0 0	42.2	433.3	156.9	238.4	183.6	186.1	170.3	178.4	260.6	379.8	259.9	184.9	256.7	79.8	186.2	208.9	-69.0	252.7	-1.9	-149.0	219.8	-542.8	-507.7	-417.6	-344.6	419.8
2025/09/20	12:29:48	39854	0 1 0 0	42.0	433.2	156.9	238.4	183.3	186.1	170.4	178.4	260.6	379.8	259.9	184.9	256.8	79.8	186.4	208.9	-69.2	252.7	-2.1	-149.0	219.8	-542.7	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:48	39855	0 1 0 0	42.2	433.2	157.1	238.4	183.3	186.1	170.4	178.4	260.6	379.8	259.7	184.9	256.7	79.8	186.2	208.9	-69.2	252.8	-1.9	-149.0	219.8	-542.8	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:48	39856	0 1 0 0	42.2	433.2	156.9	238.4	183.2	185.9	170.3	178.4	260.6	379.8	259.9	184.9	256.7	79.8	186.4	208.9	-69.2	252.8	-1.9	-149.0	219.8	-542.7	-507.8	-417.6	-344.5	420.0
2025/09/20	12:29:48	39857	0 1 0 0	42.2	433.2	156.9	238.4	183.3	185.9	170.3	178.4	260.6	379.8	259.9	184.9	256.7	79.6	186.4	208.9	-69.2	252.8	-2.1	-149.0	219.8	-542.7	-507.8	-417.4	-344.6	420.0
2025/09/20	12:29:48	39858	0 1 0 0	42.0	433.2	156.9	238.4	183.5	186.1	170.3	178.3	260.6	379.7	259.9	185.0	256.7	79.8	186.4	208.9	-69.2	252.7	-2.1	-149.0	219.8	-542.7	-507.8	-417.6	-344.6	420.0
2025/09/20	12:29:48	39859	0 1 0 0	42.0	433.2	156.8	238.4	183.3	186.1	170.4	178.4	260.6	379.8	259.9	184.9	256.7	79.8	186.2	208.9	-69.2	252.7	-2.1	-149.0	219.8	-542.7	-507.7	-417.6	-344.6	420.0
2025/09/20	12:29:48	39860	0 1 0 0	42.2	433.2	156.9	238.4	183.3	185.9	170.3	178.4	260.5	379.8	259.9	184.9	256.8	79.8	186.2	208.9	-69.2	252.8	-2.1	-149.0	219.8	-542.7	-507.8	-417.5	-344.5	419.8
2025/09/20	12:29:48	39861	0 1 0 0	42.2	433.2	156.9	238.4	183.3	186.1	170.3	178.3	260.5	379.8	259.7	184.9	256.7	79.8	186.2	208.9	-69.2	252.7	-1.9	-149.0	219.8	-542.8	-507.8	-417.5	-344.6	419.8
2025/09/20	12:29:48	39862	0 1 0 0	42.0	433.2	156.9	238.4	183.3	186.1	170.3	178.4	260.5	379.8	259.9	184.9	256.7	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.0	219.8	-542.7	-507.7	-417.7	-344.6	419.8
2025/09/20	12:29:48	39863	0 1 0 0	42.2	433.2	156.8	238.4	183.2	186.1	170.3	178.4	260.6	379.8	259.7	185.0	256.7	79.8	186.4	208.9	-69.2	252.8	-2.1	-149.0	219.8	-542.7	-507.8	-417.7	-344.6	419.8
2025/09/20	12:29:48	39864	0 1 0 0	42.0	433.2	156.8	238.4	183.3	186.1	170.3	178.4	260.6	380.0	259.7	185.0	256.7	79.8	186.4	208.9	-69.2	252.7	-2.1	-149.0	219.8	-542.8	-507.7	-417.6	-344.6	419.8
2025/09/20	12:29:49	39865	0 1 0 0	42.0	433.2	156.9	238.4	183.3	186.1	170.3	178.4	260.5	379.8	259.9	185.0	256.7	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.0	219.8	-542.8	-507.8	-417.7	-344.6	419.8
2025/09/20	12:29:49	39866	0 1 0 0	42.0	433.2	156.9	238.4	183.3	186.1	170.3	178.4	260.6	379.8	259.7	184.9	256.7	79.8	186.4	208.9	-69.2	252.8	-2.1	-149.0	219.8	-542.8	-507.8	-417.5	-344.6	419.7
