Date Time: 18:00:58.199 3/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 1
Integration Time [탎]: 107
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.181885
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
1-1	1510.4468	Strain	-	탎train	7.77E-7				
1-2	1513.5522	Strain	-	탎train	7.77E-7				
1-3	1516.6464	Strain	-	탎train	7.77E-7				
1-4	1519.8484	Strain	-	탎train	7.77E-7				
1-5	1522.7909	Strain	-	탎train	7.77E-7				
1-6	1525.9293	Strain	-	탎train	7.77E-7				
1-7	1529.1089	Strain	-	탎train	7.77E-7				
1-8	1532.1644	Strain	-	탎train	7.77E-7				
1-9	1535.3301	Strain	-	탎train	7.77E-7				
1-10	1538.5734	Strain	-	탎train	7.77E-7				
1-11	1541.5057	Strain	-	탎train	7.77E-7				
1-12	1544.4687	Strain	-	탎train	7.77E-7				
1-13	1547.6416	Strain	-	탎train	7.77E-7				
1-14	1550.7506	Strain	-	탎train	7.77E-7				
1-15	1553.7822	Strain	-	탎train	7.77E-7				
1-16	1556.8401	Strain	-	탎train	7.77E-7				
1-17	1559.9238	Strain	-	탎train	7.77E-7				
1-18	1563.3032	Strain	-	탎train	7.77E-7				
1-19	1566.3636	Strain	-	탎train	7.77E-7				
1-20	1569.3170	Strain	-	탎train	7.77E-7				
1-21	1572.6998	Strain	-	탎train	7.77E-7				
1-22	1575.4220	Strain	-	탎train	7.77E-7				
1-23	1578.6724	Strain	-	탎train	7.77E-7				
1-24	1581.7581	Strain	-	탎train	7.77E-7				
1-25	1584.9137	Strain	-	탎train	7.77E-7				
1-26	1588.7172	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	1-1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	1-9	1-10	1-11	1-12	1-13	1-14	1-15	1-16	1-17	1-18	1-19	1-20	1-21	1-22	1-23	1-24	1-25	1-26
2025/10/03	18:00:58	903	0 0 0 0	-0.2	4.9	5.2	2.9	2.1	5.7	1.5	1.2	3.2	3.4	3.7	-0.2	7.7	8.0	2.3	3.7	2.1	4.0	2.0	8.1	1.1	6.6	4.9	4.4	6.6	-1.9
2025/10/03	18:00:58	904	0 0 0 0	0.0	4.9	5.2	3.1	2.1	5.8	1.5	1.2	3.2	3.5	3.5	-0.5	7.7	8.1	2.5	3.5	2.3	4.0	2.0	8.0	1.1	6.6	4.8	4.4	6.8	-2.1
2025/10/03	18:00:58	905	0 0 0 0	-0.1	5.2	5.4	3.1	2.1	5.7	1.5	1.2	3.2	3.4	3.5	-0.5	7.7	8.0	2.5	3.7	2.6	3.8	1.8	7.8	1.1	6.8	4.8	4.3	6.8	-2.1
2025/10/03	18:00:58	906	0 0 0 0	-0.2	5.1	5.2	3.1	2.1	5.7	1.7	1.1	3.2	3.2	3.5	-0.5	7.7	8.0	2.1	3.4	2.3	3.7	2.0	8.1	1.2	6.8	4.8	4.1	6.8	-1.9
2025/10/03	18:00:58	907	0 0 0 0	-0.2	4.8	5.4	2.8	2.3	5.7	1.7	1.2	3.5	3.1	3.5	-0.5	7.7	8.1	2.1	3.5	2.5	3.7	2.0	7.8	1.1	6.6	4.6	4.1	6.8	-1.9
2025/10/03	18:00:58	908	0 0 0 0	-0.2	4.8	5.2	2.9	2.1	5.7	1.7	1.1	3.5	3.2	3.7	-0.5	7.7	8.0	2.1	3.5	2.6	3.5	2.0	7.8	1.1	6.6	4.6	4.3	6.4	-2.2
2025/10/03	18:00:58	909	0 0 0 0	-0.2	5.1	5.2	2.9	2.1	5.8	1.5	1.2	3.5	3.1	3.4	-0.5	7.7	8.0	2.3	3.5	2.6	3.7	2.0	8.1	1.1	6.8	4.8	4.1	6.6	-1.8
2025/10/03	18:00:58	910	0 0 0 0	-0.2	5.1	5.2	2.8	2.1	5.7	1.5	1.1	3.5	3.1	3.4	-0.5	7.5	8.0	2.3	3.5	2.3	3.4	2.0	8.0	1.1	6.8	4.6	4.0	6.4	-2.1
2025/10/03	18:00:59	911	0 0 0 0	-0.4	5.1	5.2	2.8	2.1	5.8	1.5	1.2	3.5	2.9	3.4	-0.5	7.7	7.8	2.1	3.4	2.6	3.7	2.0	8.0	1.1	6.6	4.8	4.1	6.4	-2.1
2025/10/03	18:00:59	912	0 0 0 0	-0.1	4.9	5.2	3.1	2.1	5.8	1.7	1.2	3.5	2.8	3.4	-0.5	7.7	8.0	2.5	3.4	2.5	3.7	2.0	8.1	1.2	6.8	4.4	4.3	6.4	-2.1
2025/10/03	18:00:59	913	0 0 0 0	-0.2	5.1	5.4	2.8	2.1	5.8	1.5	1.1	3.4	2.8	3.4	-0.5	7.8	8.0	2.1	3.4	2.6	3.8	2.1	8.0	1.1	6.8	4.6	4.1	6.1	-1.8
2025/10/03	18:00:59	914	0 0 0 0	-0.2	4.9	5.5	2.8	2.0	6.0	1.5	1.1	3.4	2.6	3.5	-0.5	7.8	7.8	2.3	3.4	2.6	3.8	2.1	8.0	1.2	6.8	4.4	4.0	6.3	-1.9
2025/10/03	18:00:59	915	0 0 0 0	-0.4	5.1	5.4	2.8	2.1	5.8	1.5	0.9	3.5	2.8	3.4	-0.5	7.8	7.8	2.1	3.4	3.1	3.8	2.0	8.0	1.1	6.8	4.6	4.1	6.4	-2.1
2025/10/03	18:00:59	916	0 0 0 0	-0.4	5.1	5.4	2.8	2.1	6.1	1.7	1.1	3.5	2.8	3.4	-0.5	8.0	7.8	2.1	3.4	3.2	3.7	2.0	8.0	1.1	6.8	4.3	4.3	6.6	-1.9
2025/10/03	18:00:59	917	0 0 0 0	-0.4	4.9	5.4	2.9	2.3	6.0	1.5	0.9	3.5	2.8	3.4	-0.5	8.3	7.8	2.1	3.4	3.2	3.7	2.0	8.0	1.1	6.8	4.4	4.3	6.4	-1.9
