Date Time: 18:18:10.704 3/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 0
Integration Time [탎]: 112
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.197144
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
0-1	1510.4858	Strain	-	탎train	7.77E-7				
0-2	1513.7059	Strain	-	탎train	7.77E-7				
0-3	1516.7286	Strain	-	탎train	7.77E-7				
0-4	1519.8500	Strain	-	탎train	7.77E-7				
0-5	1522.8158	Strain	-	탎train	7.77E-7				
0-6	1525.9927	Strain	-	탎train	7.77E-7				
0-7	1529.1119	Strain	-	탎train	7.77E-7				
0-8	1532.1481	Strain	-	탎train	7.77E-7				
0-9	1535.3517	Strain	-	탎train	7.77E-7				
0-10	1538.5715	Strain	-	탎train	7.77E-7				
0-11	1541.5225	Strain	-	탎train	7.77E-7				
0-12	1544.5006	Strain	-	탎train	7.77E-7				
0-13	1547.6516	Strain	-	탎train	7.77E-7				
0-14	1550.7437	Strain	-	탎train	7.77E-7				
0-15	1553.8105	Strain	-	탎train	7.77E-7				
0-16	1556.8339	Strain	-	탎train	7.77E-7				
0-17	1560.0078	Strain	-	탎train	7.77E-7				
0-18	1563.2059	Strain	-	탎train	7.77E-7				
0-19	1566.3119	Strain	-	탎train	7.77E-7				
0-20	1569.3036	Strain	-	탎train	7.77E-7				
0-21	1572.7086	Strain	-	탎train	7.77E-7				
0-22	1575.5806	Strain	-	탎train	7.77E-7				
0-23	1578.6766	Strain	-	탎train	7.77E-7				
0-24	1581.7517	Strain	-	탎train	7.77E-7				
0-25	1584.8741	Strain	-	탎train	7.77E-7				
0-26	1588.6713	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	0-1	0-2	0-3	0-4	0-5	0-6	0-7	0-8	0-9	0-10	0-11	0-12	0-13	0-14	0-15	0-16	0-17	0-18	0-19	0-20	0-21	0-22	0-23	0-24	0-25	0-26
2025/10/03	18:18:10	2011	0 0 0 0	-34.8	32.8	16.3	2.9	-16.4	-32.8	-20.1	-48.2	-20.5	-10.0	4.0	-12.9	8.1	-5.6	2.3	-101.9	68.6	281.0	31.3	-106.1	16.9	-142.5	-6.1	-14.3	35.9	4.8
2025/10/03	18:18:10	2012	0 0 0 0	-35.0	32.7	16.3	2.6	-16.4	-32.7	-20.3	-48.3	-20.7	-10.2	4.0	-12.8	8.3	-5.5	2.3	-101.9	68.6	280.9	31.1	-106.0	16.9	-142.4	-6.2	-14.3	35.4	4.8
2025/10/03	18:18:10	2013	0 0 0 0	-34.9	32.8	16.4	2.5	-16.7	-32.8	-20.4	-48.0	-20.8	-10.2	3.8	-12.8	8.3	-5.6	2.1	-101.7	68.4	281.2	31.1	-106.1	16.7	-143.0	-5.8	-14.3	35.0	4.8
2025/10/03	18:18:11	2014	0 0 0 0	-34.8	32.8	16.3	2.3	-16.7	-33.0	-20.6	-48.1	-20.8	-10.2	3.7	-12.8	8.3	-5.8	2.0	-102.2	68.3	281.0	31.1	-106.1	16.7	-142.1	-5.8	-14.3	35.0	4.8
2025/10/03	18:18:11	2015	0 0 0 0	-35.0	32.7	16.3	2.3	-16.9	-32.8	-20.6	-48.0	-21.0	-10.2	3.4	-12.9	8.3	-5.6	2.0	-102.2	68.0	280.7	31.0	-106.0	16.6	-141.0	-6.9	-14.4	36.1	4.9
2025/10/03	18:18:11	2016	0 0 0 0	-34.9	32.5	16.3	2.0	-16.9	-32.7	-20.6	-48.0	-21.0	-10.4	3.1	-12.9	8.3	-5.9	1.8	-102.0	68.1	280.7	30.8	-106.1	16.3	-141.3	-6.8	-14.7	36.5	5.1
2025/10/03	18:18:11	2017	0 0 0 0	-34.8	32.5	16.1	1.7	-17.0	-32.7	-20.6	-47.8	-21.1	-10.3	2.8	-13.0	8.0	-5.9	1.8	-102.3	68.0	280.1	30.4	-106.1	16.3	-141.1	-7.1	-14.4	36.4	5.1
2025/10/03	18:18:11	2018	0 0 0 0	-34.8	32.5	16.1	1.7	-17.5	-32.8	-20.3	-47.8	-21.0	-10.3	2.5	-13.0	7.8	-5.9	1.7	-102.5	67.8	280.1	30.4	-106.0	16.0	-140.9	-7.4	-14.8	36.5	4.9
2025/10/03	18:18:11	2019	0 0 0 0	-34.8	32.2	16.0	1.1	-17.6	-32.7	-20.3	-48.0	-21.0	-10.4	2.5	-12.9	7.7	-5.9	1.4	-102.3	68.0	280.1	30.1	-106.0	16.0	-142.4	-7.2	-14.7	36.2	5.1
2025/10/03	18:18:11	2020	0 0 0 0	-34.8	32.1	16.0	0.8	-17.9	-32.8	-20.4	-47.7	-20.9	-10.4	2.5	-12.8	7.4	-5.9	1.4	-102.2	68.0	279.8	30.1	-106.1	16.0	-143.2	-7.4	-15.0	36.7	5.1
